3 3 111010010	ACT CAT
3 4 100111101001	NOW OWN WON
3 4 100101111001	ARE EAR ERA
3 3 101101111	APT PAT TAP
5 5 0000111101001110010000100	DIP DRIP RID RIP
5 5 0000100001011110010011100	AIR FAIR FAR FIR
6 5 001001111001101111100000111000	DEN DENT END NET TEN TEND
5 4 10100101111110000100	ARK PAR PARK RAP
5 4 00001111011011110101	NOT NUT OUT TON UNTO
5 5 1110100001011110001000010	DAY LAD LADY LAY
7 5 00111100010100111011101000011111001	ATE BAT BEAT BET BETA EAT TAB TEA
6 5 011101010101111101100001111000	BAN BAR BARN BRA BRAN NAB RAN
5 5 1111010101101111010110000	ADS SAD SAVE SAVED VASE
7 7 0010000001000000111111110001100111111110000001000	DOE DOLE DOVE LED LOVE LOVED ODE OLD
7 5 11110001001000111100100100010011111	HIS HIT ITS SIGH SIGHT SIT THIS
7 5 00111011110101101110110100010010000	ART CAR CART CAT RAT TAR TRACT
6 6 111110100100100101010111010001011111	CLOUD COD COLD COULD DOC DUO LOUD
7 6 001111010101001010111111010100100010000111	BAD BALD BAN BAND BLAND LAB LAND NAB
7 7 0000100000010000101110010001001110100101111110100	AGE ALE EAGLE GAL GEL GLEE LAG LEG
7 7 0011110111010010111011000001111110100100010010000	ALE ASH HAS HEAL LEASH SALE SEA SEAL SHE
6 5 111001100111100101111110000100	ABS CAB CABS CUB CUBS SCUBA
7 6 000100000011111111010001001000111110010000	LOSE ORE ROLES ROSE SOLE SORE
7 6 000011100010100111110010100011110000100000	CLONE CON CONE LONE ONCE ONE
7 7 0011110100000011100001010100001111100001010000111	HINT HIT INK KIN KIT THIN THINK TIN
6 5 111000100000111001101001101111	APP APPLY LAP PAL PAY PLAY
7 7 1111100100010010101011110111001110100010010001000	APE ASK PEAK PEAKS PEAS SAP SEA SPA SPEAK
9 7 000111101111100101010101111011100001000001111000001000000001000	IDOL LID OIL OLD SILO SLID SOD SOIL SOLD SOLID
7 5 11100000000000101111110010101111010	ARC CLAW CRAWL LAW RAW WAR
6 5 011100010000111101010101010111	ION NAP PAIN PAN PIANO PIN
7 5 00001111110001101110110101011010111	ARM MAR RAM SAW SWAM SWARM WARM WAS
6 5 000001000001101111100101111110	DICE DICED DID ICE ICED
7 5 11100001010100101111100001010001111	DUE DUEL DUG GLUE GLUED LED LUG
7 5 11110001001000101111110001010000111	HEN NET TEN TENT TENTH THE THEN
8 7 00111110001010000111110000100101111001010100011101000000	ANT ITS SAINT SATIN SIN SIT STAIN TAN TINS
8 6 000111000100000001001111111110000010100000111000	LEST LETS SET SLY STYLE YES YET
6 6 000001111001101001101111101010011110	DICE DIM DIME ICED MEDIC MICE MID
7 7 0011111010101011110100100000011110100010010001111	AND DARN DRAG GRAD GRAND NAG RAG RAN RANG
5 5 0111110101111011010100001	HINT INN NINTH THIN TIN
7 7 0101010111101001011110000010001111100001010000111	BET BRUTE BUT RUB RUT TRUE TUB TUBE TUBER
7 5 11110000010100111110100001010011111	RUG SUE SURE SURGE URGES USER
7 5 00111110010001111100110000001011110	CHOP COP CROP HOP PORCH PRO
6 5 001000001010111010101111101010	CORE FOE FOR FORCE FORE
7 7 0001111010100111110010100001111010010001001111100	AID AND DARN DRAIN RAID RAIN RAN RID RIND
